课程代码,课程名称,学分,课程性质,建议修读学期,大类/模块,是否必修,备注
601112101,思想道德与法治,3,通识必修,一秋/一春,,True,
601113101,中国近现代史纲要,3,通识必修,一秋/一春,,True,
601114101,马克思主义基本原理,3,通识必修,二秋/二春,,True,
601115101,毛泽东思想和中国特色社会主义理论体系概论,3,通识必修,二秋/二春,,True,
601116101,习近平新时代中国特色社会主义思想概论,3,通识必修,二秋/二春,,True,
601117101,形势与政策,2,通识必修,一二三年级,,True,
061001001,大学体育Ⅰ,1,通识必修,一秋,,True,
061001002,大学体育Ⅱ,1,通识必修,一春,,True,
061001003,大学体育Ⅲ,1,通识必修,二秋,,True,
061001004,大学体育Ⅳ,1,通识必修,二春,,True,
061003001,国家学生体质健康标准测试,0.0,通识必修,四春,,True,
761002311,军事训练,2,通识必修,一秋,,True,
761002312,国防教育,2,通识必修,二秋,,True,
601118001,国家安全教育,1,通识必修,一秋,,True,
,大学外语（基础拓展）,3,通识必修,一秋,,True,
,大学外语（进阶拓展）,3,通识必修,一春,,True,
,大学外语（高阶课程）,2,通识必修,二三年级,,True,
104000001,大学生心理健康教育,1,通识必修,一春,,True,
761001401,大学生职业发展与就业指导,1,通识必修,二秋/三秋,,True,
,通识选修：艺术鉴赏与审美体验,2,通识选修,春秋滚动,通识选修,False,必修 2 学分
,通识选修：人工智能与现代生活,2,通识选修,春秋滚动,通识选修,False,必修 2 学分
,通识选修：“四史教育”专题,1,通识选修,春秋滚动,通识选修,False,4 选 1，1 学分
,通识选修：其他通识课程,5,通识选修,春秋滚动,通识选修,False,补足通识选修至 10 学分
024902061,高等数学 A1,5,专业核心,一秋,,True,
024902062,高等数学 A2,4,专业核心,一春,,True,
024903063,线性代数 A3,3,专业核心,一秋,,True,
2240011A1,计算机科学导论,2,专业核心,一秋,,True,
2240001A1,程序设计基础,4,专业核心,一秋,,True,
2241681A1,★数据结构,4,专业核心,二秋,,True,
2241421B1,计算机组成原理,3.5,专业核心,二秋,,True,
2241241A1,★操作系统,3.5,专业核心,二春,,True,
2241411A1,计算机网络,3,专业核心,二春,,True,
2241711A1,数据库原理,3.5,专业核心,二春,,True,
2241721A1,算法设计与分析,3,专业核心,二春,,True,
2251631A1,软件工程,3,专业核心,三秋,,True,
2241641A1,软件架构分析与设计,2.5,专业核心,三春,,True,
024A11001,大学物理B,4,专业限选,一春,,True,
024906001,概率与数理统计,3,专业限选,二春,,True,
224004001,离散数学,3,专业限选,一春,,True,
225661001,人工智能引论,2.5,专业限选,二春,,True,
2251931A1,云计算与大数据,2.5,专业限选,三秋,,True,
225699101,深度学习方法与实践,3,专业限选,三春,,True,
225393101,数字孪生技术与应用,2.5,专业限选,二秋,,True,
225676102,大规模数据挖掘,2.5,专业限选,二春,,True,
2251951A1,Java程序设计,3,专业限选,一春,,True,
2251211A1,Web程序设计,3,专业限选,二春,,True,
225677101,智能信息管理与应用,2.5,专业限选,三春,,True,
2251911A1,移动应用开发（Android）,3,专业限选,三秋,,True,
225700102,智能软件测试技术,2,专业限选,三春,,True,
225681101,多媒体应用开发,2.5,专业限选,二秋,,True,
225693101,三维动画设计与制作,3,专业限选,三秋,,True,
2251611A1,人机交互与虚拟现实,2.5,专业限选,三春,,True,
225620102,UI 与交互设计,3,专业限选,二春,,True,
225197101,数字图像处理,3,专业限选,二春,,True,
225396001,智能媒体导论,2,专业限选,一秋,,True,
225394101,区块链技术与应用,2.5,专业限选,二春,,True,
225395101,前沿人工智能技术与应用,2,专业限选,三秋,,True,
2251941x1,医学人工智能原理与应用,2,专业限选,三秋/三春,,True,
225702101,网络编程,2.5,专业限选,三秋,,True,
2251791A1,网络安全,2,专业限选,三秋,,True,
225673102,数字逻辑,3.5,专业限选,二秋,,True,
225674001,高级数据结构,2,专业限选,三秋,,True,
2251121A1,◆C++程序设计,3,专业限选,一春,,True,
225671002,应用密码学,3,专业限选,二春,,True,
225672101,安全协议及应用,2.5,专业限选,三秋,,True,
2251951x1,计算机图形学,3,专业限选,二春,,True,
2251151A1,Linux 程序设计,1.5,专业限选,三秋,,True,
2251111A1,.NET 程序设计,3,专业限选,二秋,,True,
2251141A1,JSP/Servlet 程序设计,3,专业限选,三秋,,True,
2251701A1,数据库应用技术,2.5,专业限选,三春,,True,
225018001,职业规划与素养,2,专业限选,三春,,True,
2251821A1,网络化软件项目管理,2,专业实践,三春,,True,
224425302,前端交互开发与实践,2,专业实践,三春,,True,
224448302,网络工程,1.5,专业实践,三秋,,True,
224443302,ACM编程实践,2,专业实践,一春,,True,
224426302,科研实务,2,专业实践,二春,,True,
224427302,AI时代创新创业思维与实践,2,专业实践,三春,,True,
224196301,专业见习,2,专业实践,四春/秋,,True,
224092301,专业实习,8,专业实践,四春/秋,,True,
224436302,毕业论文（设计）,8,专业实践,四春/秋,,True,
,Ⅱ类学分：劳动教育类,2,Ⅱ类学分,,Ⅱ类,False,不少于 2 学分
,Ⅱ类学分：社会实践类,2,Ⅱ类学分,,Ⅱ类,False,不高于/计入 2 学分
